[06-05-2023 00:49:24]: Pusher30 hat PlayasEmre mit Waffe 33 an Part 9 getroffen, Schaden: 20
[06-05-2023 00:49:28]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:49:28]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 3 getroffen, Schaden: 9
[06-05-2023 00:49:28]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 3 getroffen, Schaden: 9
[06-05-2023 00:49:28]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:49:29]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:49:29]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:49:29]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:49:29]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 3 getroffen, Schaden: 9
[06-05-2023 00:49:29]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 3 getroffen, Schaden: 9
[06-05-2023 00:49:29]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 3 getroffen, Schaden: 9
[06-05-2023 00:49:29]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 3 getroffen, Schaden: 9
[06-05-2023 00:49:29]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:49:30]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:49:30]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:49:30]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 9 getroffen, Schaden: 12
[06-05-2023 00:49:30]: Pusher30 hat PlayasEmre mit Waffe 31 an Part 3 getroffen, Schaden: 9
